date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,California,816301.0,3286050.0,703540.0,0.25,2.07,100089.0,1.78,8.32,,,,0.248
2021-01-13,California,891489.0,3435650.0,744545.0,0.34,2.26,133689.0,1.88,8.7,75188.0,75188.0,1903.0,0.259
2021-01-14,California,975293.0,3540175.0,801998.0,,2.47,,2.03,8.96,83804.0,79496.0,2012.0,0.275
2021-01-15,California,1072959.0,3548575.0,865387.0,0.52,2.72,204374.0,2.19,8.98,97666.0,85553.0,2165.0,0.302
2021-01-16,California,,,,,,,,,96867.75,88381.0,2237.0,
2021-01-17,California,,,,,,,,,96867.75,90079.0,2280.0,
2021-01-18,California,,,,,,,,,96867.75,91210.0,2308.0,
2021-01-19,California,1460430.0,3548575.0,1195969.0,0.66,3.7,260838.0,3.03,8.98,96867.75,92018.0,2329.0,0.41200000000000003
2021-01-20,California,1532329.0,4169450.0,1255311.0,0.69,3.88,273276.0,3.18,10.55,71899.0,91549.0,2317.0,0.368
2021-01-21,California,1633875.0,4379500.0,1335886.0,0.74,4.14,293834.0,3.38,11.08,101546.0,94083.0,2381.0,0.373
2021-01-22,California,1803679.0,4714625.0,1477195.0,0.81,4.56,321839.0,3.74,11.93,169804.0,104389.0,2642.0,0.38299999999999995
2021-01-23,California,2008220.0,4906525.0,1661683.0,0.86,5.08,341731.0,4.21,12.42,204541.0,119770.0,3031.0,0.409
2021-01-24,California,2199908.0,4906525.0,1838464.0,0.9,5.57,356382.0,4.65,12.42,191688.0,133316.0,3374.0,0.44799999999999995
2021-01-25,California,2330633.0,4906525.0,1954048.0,0.94,5.9,371482.0,4.95,12.42,130725.0,138153.0,3496.0,0.475
2021-01-26,California,2446577.0,5340275.0,2053652.0,0.98,6.19,387563.0,5.2,13.52,115944.0,140878.0,3565.0,0.45799999999999996
2021-01-27,California,2579666.0,5452575.0,2156029.0,1.06,6.53,417606.0,5.46,13.8,133089.0,149620.0,3787.0,0.473
2021-01-28,California,2746876.0,5547100.0,2281453.0,1.16,6.95,458585.0,5.77,14.04,167210.0,159000.0,4024.0,0.495
