date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,New Mexico,78235.0,177075.0,43344.0,0.54,3.73,11335.0,2.07,8.44,,,,0.442
2021-01-13,New Mexico,81855.0,199525.0,45873.0,0.59,3.9,12426.0,2.19,9.52,3620.0,3620.0,1726.0,0.41
2021-01-14,New Mexico,89415.0,204750.0,73428.0,,4.26,,3.5,9.76,7560.0,5590.0,2666.0,0.43700000000000006
2021-01-15,New Mexico,99305.0,204750.0,80172.0,0.89,4.74,18711.0,3.82,9.76,9890.0,7023.0,3349.0,0.485
2021-01-16,New Mexico,,,,,,,,,9711.25,7695.0,3670.0,
2021-01-17,New Mexico,,,,,,,,,9711.25,8098.0,3862.0,
2021-01-18,New Mexico,,,,,,,,,9711.25,8367.0,3990.0,
2021-01-19,New Mexico,138150.0,204750.0,112450.0,1.11,6.59,23236.0,5.36,9.76,9711.25,8559.0,4082.0,0.675
2021-01-20,New Mexico,143302.0,225850.0,116128.0,1.18,6.83,24706.0,5.54,10.77,5152.0,8778.0,4186.0,0.635
2021-01-21,New Mexico,152465.0,237725.0,122956.0,1.29,7.27,27014.0,5.86,11.34,9163.0,9007.0,4296.0,0.6409999999999999
2021-01-22,New Mexico,162045.0,248300.0,130211.0,1.4,7.73,29278.0,6.21,11.84,9580.0,8963.0,4275.0,0.653
2021-01-23,New Mexico,184698.0,257075.0,148964.0,1.58,8.81,33133.0,7.1,12.26,22653.0,10812.0,5156.0,0.718
2021-01-24,New Mexico,200141.0,257075.0,162636.0,1.66,9.54,34878.0,7.76,12.26,15443.0,11630.0,5546.0,0.779
2021-01-25,New Mexico,204670.0,257075.0,166530.0,1.69,9.76,35507.0,7.94,12.26,4529.0,10890.0,5194.0,0.7959999999999999
2021-01-26,New Mexico,210136.0,270725.0,171579.0,1.71,10.02,35823.0,8.18,12.91,5466.0,10284.0,4905.0,0.7759999999999999
2021-01-27,New Mexico,217075.0,303625.0,176038.0,1.83,10.35,38292.0,8.4,14.48,6939.0,10539.0,5026.0,0.715
2021-01-28,New Mexico,224692.0,314750.0,180272.0,1.99,10.72,41669.0,8.6,15.01,7617.0,10318.0,4921.0,0.7140000000000001
